w,svg42mf,rpstruct,resp1,rpzhou,svg8w
1.591549e-03,1.584756e-01,2.584668e-01,1.160978e-01,3.020838e-01,3.108270e-01
1.686342e-03,1.584285e-01,2.584189e-01,1.165181e-01,3.019848e-01,3.107043e-01
1.786781e-03,1.583760e-01,2.583655e-01,1.169449e-01,3.018741e-01,3.105672e-01
1.893202e-03,1.583174e-01,2.583058e-01,1.173769e-01,3.017506e-01,3.104141e-01
2.005962e-03,1.582520e-01,2.582393e-01,1.178129e-01,3.016128e-01,3.102433e-01
2.125437e-03,1.581791e-01,2.581652e-01,1.182465e-01,3.014593e-01,3.100528e-01
2.252029e-03,1.580981e-01,2.580828e-01,1.186860e-01,3.012882e-01,3.098406e-01
2.386160e-03,1.580080e-01,2.579911e-01,1.191257e-01,3.010979e-01,3.096044e-01
2.528280e-03,1.579079e-01,2.578894e-01,1.195652e-01,3.008863e-01,3.093417e-01
2.678865e-03,1.577968e-01,2.577765e-01,1.200025e-01,3.006514e-01,3.090499e-01
2.838418e-03,1.576739e-01,2.576515e-01,1.205386e-01,3.003910e-01,3.087262e-01
3.007475e-03,1.575380e-01,2.575134e-01,1.209715e-01,3.001027e-01,3.083677e-01
3.186601e-03,1.573879e-01,2.573610e-01,1.213964e-01,2.997841e-01,3.079712e-01
3.376395e-03,1.572227e-01,2.571932e-01,1.218106e-01,2.994326e-01,3.075334e-01
3.577494e-03,1.570411e-01,2.570088e-01,1.222114e-01,2.990456e-01,3.070510e-01
3.790570e-03,1.568420e-01,2.568069e-01,1.225938e-01,2.986205e-01,3.065207e-01
4.016337e-03,1.566245e-01,2.565862e-01,1.229582e-01,2.981547e-01,3.059390e-01
4.255551e-03,1.563874e-01,2.563459e-01,1.232971e-01,2.976458e-01,3.053027e-01
4.509012e-03,1.561300e-01,2.560851e-01,1.236111e-01,2.970913e-01,3.046087e-01
4.777570e-03,1.558517e-01,2.558034e-01,1.238920e-01,2.964894e-01,3.038542e-01
5.062123e-03,1.555520e-01,2.555002e-01,1.241396e-01,2.958384e-01,3.030370e-01
5.363624e-03,1.552309e-01,2.551757e-01,1.243443e-01,2.951372e-01,3.021555e-01
5.683082e-03,1.548887e-01,2.548303e-01,1.245089e-01,2.943854e-01,3.012086e-01
6.021568e-03,1.545264e-01,2.544650e-01,1.246242e-01,2.935833e-01,3.001966e-01
6.380213e-03,1.541453e-01,2.540813e-01,1.246932e-01,2.927325e-01,2.991207e-01
6.760220e-03,1.537477e-01,2.536818e-01,1.247068e-01,2.918353e-01,2.979837e-01
7.162860e-03,1.533366e-01,2.532694e-01,1.246658e-01,2.908956e-01,2.967900e-01
7.589481e-03,1.529156e-01,2.528484e-01,1.245718e-01,2.899188e-01,2.955457e-01
8.041512e-03,1.524897e-01,2.524238e-01,1.244206e-01,2.889115e-01,2.942591e-01
8.520466e-03,1.520647e-01,2.520017e-01,1.242148e-01,2.878824e-01,2.929406e-01
9.027946e-03,1.516475e-01,2.515895e-01,1.239517e-01,2.868417e-01,2.916027e-01
9.565653e-03,1.512461e-01,2.511955e-01,1.236332e-01,2.858012e-01,2.902604e-01
1.013538e-02,1.508695e-01,2.508293e-01,1.232604e-01,2.847745e-01,2.889309e-01
1.073905e-02,1.505279e-01,2.505014e-01,1.228369e-01,2.837767e-01,2.876333e-01
1.137867e-02,1.502322e-01,2.502235e-01,1.223667e-01,2.828243e-01,2.863890e-01
1.205639e-02,1.499942e-01,2.500078e-01,1.218545e-01,2.819349e-01,2.852209e-01
1.277447e-02,1.498266e-01,2.498677e-01,1.213053e-01,2.811270e-01,2.841533e-01
1.353532e-02,1.497424e-01,2.498168e-01,1.207248e-01,2.804197e-01,2.832117e-01
1.434148e-02,1.497550e-01,2.498691e-01,1.201187e-01,2.798324e-01,2.824220e-01
1.519566e-02,1.498780e-01,2.500391e-01,1.194926e-01,2.793845e-01,2.818104e-01
1.610072e-02,1.501249e-01,2.503408e-01,1.188519e-01,2.790951e-01,2.814030e-01
1.705968e-02,1.505091e-01,2.507884e-01,1.182017e-01,2.789827e-01,2.812252e-01
1.807576e-02,1.510435e-01,2.513954e-01,1.175462e-01,2.790647e-01,2.813014e-01
1.915235e-02,1.517403e-01,2.521747e-01,1.168889e-01,2.793575e-01,2.816548e-01
2.029307e-02,1.526109e-01,2.531386e-01,1.160994e-01,2.798763e-01,2.823066e-01
2.150173e-02,1.536659e-01,2.542980e-01,1.154559e-01,2.806345e-01,2.832763e-01
2.278238e-02,1.549146e-01,2.556627e-01,1.148156e-01,2.816437e-01,2.845810e-01
2.413930e-02,1.563647e-01,2.572410e-01,1.141771e-01,2.829135e-01,2.862351e-01
2.557704e-02,1.580226e-01,2.590395e-01,1.135372e-01,2.844514e-01,2.882503e-01
2.710041e-02,1.598926e-01,2.610626e-01,1.128939e-01,2.862622e-01,2.906349e-01
2.871452e-02,1.619769e-01,2.633124e-01,1.122373e-01,2.883480e-01,2.933938e-01
3.042476e-02,1.642755e-01,2.657885e-01,1.115628e-01,2.907080e-01,2.965277e-01
3.223686e-02,1.667854e-01,2.684872e-01,1.108626e-01,2.933379e-01,3.000332e-01
3.415690e-02,1.695010e-01,2.714018e-01,1.101292e-01,2.962297e-01,3.039021e-01
3.619129e-02,1.724133e-01,2.745216e-01,1.093560e-01,2.993714e-01,3.081213e-01
3.834685e-02,1.755098e-01,2.778321e-01,1.085330e-01,3.027467e-01,3.126718e-01
4.063079e-02,1.787744e-01,2.813145e-01,1.076491e-01,3.063346e-01,3.175292e-01
4.305077e-02,1.821871e-01,2.849454e-01,1.066962e-01,3.101093e-01,3.226628e-01
4.561488e-02,1.857239e-01,2.886967e-01,1.056637e-01,3.140401e-01,3.280356e-01
4.833171e-02,1.893570e-01,2.925356e-01,1.045387e-01,3.180911e-01,3.336044e-01
5.121036e-02,1.930543e-01,2.964244e-01,1.033125e-01,3.222212e-01,3.393198e-01
5.426046e-02,1.967802e-01,3.003209e-01,1.019893e-01,3.263846e-01,3.451262e-01
5.749222e-02,2.004955e-01,3.041785e-01,1.013212e-01,3.305308e-01,3.509627e-01
6.091647e-02,2.041578e-01,3.079467e-01,1.013498e-01,3.346052e-01,3.567631e-01
6.454466e-02,2.077220e-01,3.115712e-01,1.013911e-01,3.385493e-01,3.624571e-01
6.838895e-02,2.111407e-01,3.149950e-01,1.014381e-01,3.423017e-01,3.679706e-01
7.246221e-02,2.143650e-01,3.181587e-01,1.014908e-01,3.457985e-01,3.732274e-01
7.677807e-02,2.173449e-01,3.210015e-01,1.015496e-01,3.489744e-01,3.781496e-01
8.135099e-02,2.200302e-01,3.234617e-01,1.016155e-01,3.517632e-01,3.826588e-01
8.619627e-02,2.223710e-01,3.254775e-01,1.016893e-01,3.540989e-01,3.866774e-01
9.133014e-02,2.243184e-01,3.269880e-01,1.017729e-01,3.559163e-01,3.901297e-01
9.676977e-02,2.258254e-01,3.279343e-01,1.018639e-01,3.571519e-01,3.929426e-01
1.025334e-01,2.268470e-01,3.282595e-01,1.019669e-01,3.577450e-01,3.950474e-01
1.086403e-01,2.273419e-01,3.279107e-01,1.020819e-01,3.576387e-01,3.963802e-01
1.151109e-01,2.272724e-01,3.268394e-01,1.022109e-01,3.567804e-01,3.968839e-01
1.219670e-01,2.266055e-01,3.250029e-01,1.023552e-01,3.551236e-01,3.965086e-01
1.292313e-01,2.253141e-01,3.223654e-01,1.025163e-01,3.526289e-01,3.952141e-01
1.369284e-01,2.233778e-01,3.189000e-01,1.026933e-01,3.492657e-01,3.929708e-01
1.450839e-01,2.207839e-01,3.145896e-01,1.028931e-01,3.450136e-01,3.897616e-01
1.537251e-01,2.175286e-01,3.094289e-01,1.031156e-01,3.398640e-01,3.855836e-01
1.628810e-01,2.136183e-01,3.034259e-01,1.033639e-01,3.338222e-01,3.804502e-01
1.725822e-01,2.090697e-01,2.966033e-01,1.036407e-01,3.269084e-01,3.743919e-01
1.828612e-01,2.039113e-01,2.889989e-01,1.039501e-01,3.191591e-01,3.674574e-01
1.937525e-01,1.981827e-01,2.806667e-01,1.042979e-01,3.106271e-01,3.597142e-01
2.052924e-01,1.919344e-01,2.716755e-01,1.046871e-01,3.013815e-01,3.512478e-01
2.175197e-01,1.852268e-01,2.621083e-01,1.051232e-01,2.915066e-01,3.421601e-01
2.304752e-01,1.781286e-01,2.520563e-01,1.056132e-01,2.810995e-01,3.325671e-01
2.442023e-01,1.707145e-01,2.416283e-01,1.061679e-01,2.702675e-01,3.225961e-01
2.587471e-01,1.630627e-01,2.309306e-01,1.067845e-01,2.591249e-01,3.123819e-01
2.741581e-01,1.552526e-01,2.200735e-01,1.074800e-01,2.477893e-01,3.020638e-01
2.904870e-01,1.473622e-01,2.091656e-01,1.082652e-01,2.363789e-01,2.917829e-01
3.077884e-01,1.394667e-01,1.983115e-01,1.091384e-01,2.250101e-01,2.816824e-01
3.261204e-01,1.316370e-01,1.876125e-01,1.101084e-01,2.137984e-01,2.719125e-01
3.455442e-01,1.239411e-01,1.771538e-01,1.111926e-01,2.028636e-01,2.626482e-01
3.661248e-01,1.164481e-01,1.670120e-01,1.123846e-01,1.923501e-01,2.541513e-01
3.879313e-01,1.092401e-01,1.573010e-01,1.136704e-01,1.825069e-01,2.470261e-01
4.110365e-01,1.024536e-01,1.481843e-01,1.143898e-01,1.741538e-01,2.437764e-01
4.355180e-01,9.644738e-02,1.448121e-01,1.155303e-01,1.716402e-01,2.555843e-01
4.614575e-01,9.276261e-02,1.502385e-01,1.163097e-01,1.799046e-01,2.888551e-01
4.889420e-01,9.689790e-02,1.662527e-01,1.162220e-01,2.020105e-01,3.398510e-01
5.180634e-01,1.102121e-01,1.955094e-01,1.143696e-01,2.398766e-01,4.125767e-01
5.489194e-01,1.288403e-01,2.341451e-01,1.081237e-01,2.895396e-01,5.110880e-01
5.816131e-01,1.464366e-01,2.711887e-01,1.077234e-01,3.374611e-01,6.195081e-01
6.162541e-01,1.473196e-01,2.790785e-01,1.106396e-01,3.497600e-01,6.715747e-01
6.529583e-01,1.246689e-01,2.462526e-01,1.138998e-01,3.121348e-01,6.198955e-01
6.918486e-01,9.543593e-02,1.999561e-01,1.167217e-01,2.572457e-01,5.245918e-01
7.330553e-01,7.165574e-02,1.606644e-01,1.204463e-01,2.103015e-01,4.418327e-01
7.767162e-01,5.452828e-02,1.315811e-01,1.247001e-01,1.765493e-01,3.843324e-01
8.229775e-01,4.261907e-02,1.238936e-01,1.296584e-01,1.617721e-01,3.639249e-01
