t,y1b3,y1b13,y2b3,y2b13
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.333333e-02,-8.026338e-06,-2.180139e-06,-4.745748e-07,-6.763293e-06
6.666667e-02,-1.767535e-05,-4.814276e-06,-5.669532e-07,-1.431804e-05
1.000000e-01,-2.115443e-05,-5.681759e-06,2.629399e-07,-1.601196e-05
1.333333e-01,-1.935507e-05,-5.052258e-06,1.639968e-06,-1.292993e-05
1.666667e-01,-1.537204e-05,-3.968363e-06,2.905519e-06,-8.142745e-06
2.000000e-01,-1.192881e-05,-3.411777e-06,3.469648e-06,-4.353292e-06
2.333333e-01,-1.059493e-05,-3.949931e-06,3.027802e-06,-3.083891e-06
2.666667e-01,-1.179433e-05,-5.671218e-06,1.634953e-06,-4.615066e-06
3.000000e-01,-1.512995e-05,-8.293804e-06,-3.591764e-07,-8.300149e-06
3.333333e-01,-1.978812e-05,-1.135629e-05,-2.468299e-06,-1.302936e-05
3.666667e-01,-2.489652e-05,-1.441185e-05,-4.251110e-06,-1.768033e-05
4.000000e-01,-2.977109e-05,-1.716833e-05,-5.450363e-06,-2.144373e-05
4.333333e-01,-3.403135e-05,-1.954600e-05,-6.050031e-06,-2.397108e-05
4.666667e-01,-3.759871e-05,-2.165532e-05,-6.245781e-06,-2.535090e-05
5.000000e-01,-4.061453e-05,-2.372007e-05,-6.353465e-06,-2.596403e-05
5.333333e-01,-4.332402e-05,-2.598192e-05,-6.695805e-06,-2.629048e-05
5.666667e-01,-4.596746e-05,-2.862007e-05,-7.506814e-06,-2.673657e-05
6.000000e-01,-4.870639e-05,-3.170712e-05,-8.880264e-06,-2.752841e-05
6.333333e-01,-5.159527e-05,-3.520691e-05,-1.076966e-05,-2.868728e-05
6.666667e-01,-5.459330e-05,-3.900559e-05,-1.302965e-05,-3.007422e-05
7.000000e-01,-5.760143e-05,-4.295904e-05,-1.547814e-05,-3.147360e-05
7.333333e-01,-6.050646e-05,-4.693863e-05,-1.795614e-05,-3.268084e-05
7.666667e-01,-6.321722e-05,-5.086165e-05,-2.036774e-05,-3.356642e-05
8.000000e-01,-6.568416e-05,-5.470055e-05,-2.269244e-05,-3.410224e-05
8.333333e-01,-6.790129e-05,-5.847289e-05,-2.497177e-05,-3.435107e-05
8.666667e-01,-6.989477e-05,-6.221949e-05,-2.727981e-05,-3.443073e-05
9.000000e-01,-7.170548e-05,-6.597989e-05,-2.968971e-05,-3.446989e-05
9.333333e-01,-7.337262e-05,-6.977358e-05,-3.224725e-05,-3.457084e-05
9.666667e-01,-7.492336e-05,-7.359124e-05,-3.495774e-05,-3.478901e-05
1.000000e+00,-7.637026e-05,-7.739676e-05,-3.778745e-05,-3.513147e-05
1.033333e+00,-7.771509e-05,-8.113700e-05,-4.067591e-05,-3.557073e-05
1.066667e+00,-7.895640e-05,-8.475488e-05,-4.355331e-05,-3.606581e-05
1.100000e+00,-8.009726e-05,-8.820116e-05,-4.635658e-05,-3.658272e-05
1.133333e+00,-8.115054e-05,-9.144172e-05,-4.903998e-05,-3.710803e-05
